contract_id,tender_id,supplier_id,award_amount_kes,contract_start_date,days_delayed,cost_overrun_percentage,delivery_quality,contract_status,supplier_age_at_award_days
C-1,1,418,46206971.06678952,2020-07-21,120,49.11,Poor,Completed,1468
C-2,2,151,5266307.457039396,2021-01-25,8,1.68,Good,Completed,1697
C-3,3,19,5663654.231524056,2025-03-11,41,21.3,Good,Completed,1468
C-4,4,11,17722694.42447784,2020-02-14,46,0.44,Good,Completed,-1336
C-5,5,13,3252268.4799578935,2020-12-23,22,1.35,Good,Completed,-1448
C-6,6,628,3105996.3523414335,2022-05-31,8,0.44,Good,Completed,1161
C-7,7,620,5329388.8923971765,2024-07-06,54,24.25,Good,Completed,628
C-8,8,70,3874791.270618404,2020-12-03,28,22.77,Good,Completed,907
C-9,9,236,3821970.6080972333,2022-12-11,9,0.0,Good,Completed,2261
C-10,10,667,396935817.7210597,2024-05-31,83,43.32,Poor,Completed,2125
C-11,11,816,4123532.624291855,2021-11-10,92,20.78,Good,Completed,-285
C-12,12,95,4334408.841510821,2023-08-15,18,20.0,Good,Completed,1596
C-13,13,379,7024206.991013457,2023-12-29,0,2.54,Good,Completed,1233
C-14,14,941,2396696.929734443,2022-03-16,10,0.0,Good,Completed,841
C-15,15,330,14827463.010507695,2022-12-08,58,22.34,Good,Completed,-389
C-16,16,187,7041287.0786327375,2022-04-30,27,0.43,Good,Completed,-72
C-17,17,161,4055796.363455221,2023-05-18,18,2.1,Good,Completed,2391
C-18,18,951,2269020.245446826,2020-07-16,72,20.0,Good,Completed,-830
C-19,19,591,2163136.778025925,2024-11-11,38,20.0,Good,Completed,2825
C-20,20,479,1502324.2382062306,2021-02-12,30,0.0,Good,Completed,-1378
C-21,21,893,2292165.8568304633,2022-07-22,21,1.43,Good,Completed,-256
C-22,22,722,5352057.82668607,2023-01-29,4,2.11,Good,Completed,1993
C-23,23,196,3034281.212300572,2024-01-22,27,0.0,Good,Completed,-440
C-24,24,51,230414802.2904565,2024-02-12,152,119.25,Poor,Terminated,368
C-25,25,275,5236350.8747244235,2025-08-01,10,2.24,Good,Completed,2617
C-26,26,572,449537266.50966144,2023-10-11,97,51.07,Poor,Completed,1717
C-27,27,685,2625419.906422263,2020-07-02,74,20.3,Good,Completed,-786
C-28,28,757,5971486.619628943,2022-08-16,54,20.0,Good,Completed,-136
C-29,29,453,474025167.64461637,2024-10-22,62,21.04,Good,Completed,2812
C-30,30,610,1801510.9303619224,2020-11-21,21,0.0,Good,Completed,258
C-31,31,388,430659976.69949454,2024-02-08,70,28.15,Poor,Completed,2099
C-32,32,559,6995225.545410753,2025-01-17,4,1.4,Good,Completed,846
C-33,33,184,42883388.31459597,2022-07-26,86,36.41,Poor,Completed,1947
C-34,34,702,5708243.088249633,2020-04-14,4,0.65,Good,Completed,1380
C-35,35,53,6800902.732579387,2025-07-02,0,0.0,Good,Completed,2418
C-36,36,163,8700575.61006096,2020-08-23,54,22.95,Good,Completed,1299
C-37,37,750,5550839.764092747,2022-06-23,25,3.65,Good,Completed,-477
C-38,38,265,7591893.804714427,2023-12-18,22,0.0,Good,Completed,-621
C-39,39,742,3970521.886221235,2024-11-15,11,0.18,Good,Completed,797
C-40,40,162,146813808.7349369,2021-07-12,237,119.04,Poor,Completed,-154
C-41,41,775,228526.05225181754,2024-08-11,15,3.09,Good,Completed,2724
C-42,42,370,4148635.4810125073,2020-09-06,38,1.86,Good,Completed,-333
C-43,43,885,8811953.325170532,2022-10-11,69,20.0,Good,Completed,-143
C-44,44,987,9798871.01090115,2021-02-03,4,1.18,Good,Completed,1675
C-45,45,995,961008.9906784317,2020-04-09,22,0.0,Good,Completed,529
C-46,46,841,3235031.9826179617,2025-04-04,11,3.11,Good,Completed,1790
C-47,47,709,12302023.840722073,2021-11-18,89,21.01,Good,Completed,-138
C-48,48,678,8607101.348120147,2022-09-23,27,20.28,Good,Completed,1417
C-49,49,503,6281196.821191068,2022-09-12,26,20.0,Good,Completed,2360
C-50,50,212,9941255.980160248,2021-08-03,33,1.87,Good,Completed,-173
C-51,51,138,4745870.789762269,2025-03-24,31,4.17,Good,Completed,175
C-52,52,363,10043088.205971949,2021-04-07,76,20.93,Good,Completed,-1036
C-53,53,287,2717468.214336462,2024-06-24,36,1.3,Good,Completed,305
C-54,54,570,9538291.693664854,2021-07-22,17,1.92,Good,Completed,-221
C-55,55,984,1143026.8795053617,2020-08-20,35,2.93,Good,Completed,-873
C-56,56,431,8728852.885827051,2020-02-09,79,24.2,Good,Completed,-1030
C-57,57,942,2412465.110239086,2020-09-12,78,22.56,Good,Completed,-686
C-58,58,152,904330.0732848833,2023-12-07,28,20.0,Good,Completed,874
C-59,59,319,6232723.049486821,2024-02-24,23,3.59,Good,Completed,2917
C-60,60,802,17075930.88207694,2023-12-12,16,4.96,Good,Completed,1726
C-61,61,657,338002507.57083654,2023-08-11,581,144.81,Poor,Terminated,790
C-62,62,716,1236990.375359904,2021-10-25,20,0.0,Good,Completed,1245
C-63,63,445,479518927.9337384,2025-11-03,68,26.39,Poor,Completed,1419
C-64,64,860,9102823.724204587,2024-02-22,26,3.75,Good,Completed,-210
C-65,65,344,142012399.28928846,2024-01-19,66,20.0,Good,Completed,-630
C-66,66,305,4640975.240156532,2021-10-25,1,0.0,Good,Completed,991
C-67,67,809,7638775.692744664,2020-10-23,5,2.25,Good,Completed,1602
C-68,68,692,268826145.8202108,2020-09-02,90,24.5,Poor,Terminated,-1120
C-69,69,840,2563276.909356462,2024-03-05,0,2.49,Good,Completed,2718
C-70,70,303,4716140.944912541,2025-02-25,7,2.01,Good,Completed,1022
C-71,71,667,7388774.241241482,2022-11-20,31,26.24,Good,Completed,1567
C-72,72,881,5138982.737639417,2023-11-24,2,0.0,Good,Completed,2367
C-73,73,497,9733785.059921354,2025-01-19,19,6.64,Good,Completed,-178
C-74,74,198,2418165.855221929,2024-09-26,23,20.0,Good,Completed,1835
C-75,75,87,42241990.18790897,2020-07-07,111,24.71,Poor,Completed,-291
C-76,76,144,8163355.654655972,2022-10-12,18,0.0,Good,Completed,-1076
C-77,77,744,8693148.680469532,2022-07-13,57,20.8,Good,Completed,675
C-78,78,366,508217969.817867,2020-12-29,706,145.85,Poor,Terminated,734
C-79,79,860,19509833.07488628,2024-06-06,50,4.96,Good,Completed,-105
C-80,80,228,5358287.202795434,2025-10-12,38,20.23,Good,Completed,2215
C-81,81,971,1605432.7295204103,2020-02-13,36,20.22,Good,Completed,1227
C-82,82,307,8760287.064493114,2023-07-06,18,3.47,Good,Completed,752
C-83,83,639,6722433.106813925,2021-10-07,18,5.5,Good,Completed,1539
C-84,84,628,765969.6961572935,2024-12-31,6,0.0,Good,Completed,2106
C-85,85,535,7193461.811754232,2022-01-01,26,0.0,Good,Completed,-407
C-86,86,288,475581726.6665964,2023-10-13,115,46.4,Poor,Terminated,2398
C-87,87,31,186985873.53275225,2022-08-04,44,5.12,Good,Completed,-822
