contract_id,tender_id,supplier_id,award_amount_kes,contract_start_date,days_delayed,cost_overrun_percentage,delivery_quality,contract_status,supplier_age_at_award_days,supplier_name,kra_pin,incorporation_date,location,company_size,credit_score,category,tender_budget_kes,tender_open_date,tender_description,procuring_entity
C-1,1,418,46206971.06678952,2020-07-21,120,49.11,Poor,Completed,1468,Hall Through Ltd,P658087211A,2016-07-14,Stephenland,Small,439,ICT Equipment & Software,45788543,2020-07-21,Supply and delivery of ict equipment & software items,Ministry of Especially
C-2,2,151,5266307.457039396,2021-01-25,8,1.68,Good,Completed,1697,Wood Life Ltd,P577488537P,2016-06-03,Corystad,Small,641,Cleaning & Sanitary Services,5234544,2021-01-25,Supply and delivery of cleaning & sanitary services items,Ministry of Spend
C-3,3,19,5663654.231524056,2025-03-11,41,21.3,Good,Completed,1468,Rodriguez Process Limited,P420452650O,2021-03-04,East Nathaniel,Small,405,Motor Vehicles & Spare Parts,5405431,2025-03-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Behind
C-4,4,11,17722694.42447784,2020-02-14,46,0.44,Good,Completed,-1336,Brown Term Agencies,P134467368Z,2023-10-12,Richardland,Medium,543,ICT Equipment & Software,16906440,2020-02-14,Supply and delivery of ict equipment & software items,Ministry of Detail
C-5,5,13,3252268.4799578935,2020-12-23,22,1.35,Good,Completed,-1448,Day Character Ltd,P384412919I,2024-12-10,Lake Anna,Small,687,Cleaning & Sanitary Services,3235812,2020-12-23,Supply and delivery of cleaning & sanitary services items,Ministry of State
C-6,6,628,3105996.3523414335,2022-05-31,8,0.44,Good,Completed,1161,Robinson Painting Agencies,P388917924L,2019-03-27,South Jillian,Small,647,Medical Supplies & Pharmaceuticals,3038687,2022-05-31,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Radio
C-7,7,620,5329388.8923971765,2024-07-06,54,24.25,Good,Completed,628,Sullivan Deep Enterprise,P655921993A,2022-10-17,North Andreaside,Small,429,Consultancy Services,5253435,2024-07-06,Supply and delivery of consultancy services items,Ministry of Ready
C-8,8,70,3874791.270618404,2020-12-03,28,22.77,Good,Completed,907,Rogers Walk Enterprise,P679984033F,2018-06-10,East Jesse,Small,443,Office Stationery & Supplies,3789024,2020-12-03,Supply and delivery of office stationery & supplies items,Ministry of Fire
C-9,9,236,3821970.6080972333,2022-12-11,9,0.0,Good,Completed,2261,Sanders Series Agencies,P871880418E,2016-10-02,Hammondshire,Small,649,Office Stationery & Supplies,3802418,2022-12-11,Supply and delivery of office stationery & supplies items,Ministry of Lay
C-10,10,667,396935817.7210597,2024-05-31,83,43.32,Poor,Completed,2125,James Actually Ventures,P230955221X,2018-08-06,South Kelsey,Medium,362,Construction & Civil Works,403194586,2024-05-31,Supply and delivery of construction & civil works items,Ministry of Will
C-11,11,816,4123532.624291855,2021-11-10,92,20.78,Good,Completed,-285,Myers Spring Ltd,P825088319V,2022-08-22,Lake Emily,Medium,315,ICT Equipment & Software,4141771,2021-11-10,Supply and delivery of ict equipment & software items,Ministry of Reveal
C-12,12,95,4334408.841510821,2023-08-15,18,20.0,Good,Completed,1596,Newton Sound Enterprise,P841057474L,2019-04-02,East Joanna,Large,415,Medical Supplies & Pharmaceuticals,4179441,2023-08-15,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Her
C-13,13,379,7024206.991013457,2023-12-29,0,2.54,Good,Completed,1233,Schultz Up Enterprise,P925583165F,2020-08-13,Robertsonview,Medium,806,Motor Vehicles & Spare Parts,6875602,2023-12-29,Supply and delivery of motor vehicles & spare parts items,Ministry of There
C-14,14,941,2396696.929734443,2022-03-16,10,0.0,Good,Completed,841,Patterson Heavy Ltd,P542306042W,2019-11-26,Lake Johnbury,Small,579,Consultancy Services,2288370,2022-03-16,Supply and delivery of consultancy services items,Ministry of Decision
C-15,15,330,14827463.010507695,2022-12-08,58,22.34,Good,Completed,-389,Norris Bar Ltd,P637722224V,2024-01-01,Brianchester,Small,440,Construction & Civil Works,14937093,2022-12-08,Supply and delivery of construction & civil works items,Ministry of Value
C-16,16,187,7041287.0786327375,2022-04-30,27,0.43,Good,Completed,-72,Downs Future Ltd,P773469560U,2022-07-11,South Carlos,Large,629,Medical Supplies & Pharmaceuticals,7085945,2022-04-30,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Executive
C-17,17,161,4055796.363455221,2023-05-18,18,2.1,Good,Completed,2391,Miller Political Limited,P259272239E,2016-10-30,West Claudia,Small,522,Consultancy Services,4094528,2023-05-18,Supply and delivery of consultancy services items,Ministry of Land
C-18,18,951,2269020.245446826,2020-07-16,72,20.0,Good,Completed,-830,Kelley Upon Ventures,P119975163O,2022-10-24,New Victor,Small,483,Medical Supplies & Pharmaceuticals,2241912,2020-07-16,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Knowledge
C-19,19,591,2163136.778025925,2024-11-11,38,20.0,Good,Completed,2825,Schmitt Property Ltd,P990826848R,2017-02-16,Bethshire,Large,389,Motor Vehicles & Spare Parts,2062889,2024-11-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Positive
C-20,20,479,1502324.2382062306,2021-02-12,30,0.0,Good,Completed,-1378,Johnson Data Limited,P994351711M,2024-11-21,East Antonioton,Medium,507,Motor Vehicles & Spare Parts,1496436,2021-02-12,Supply and delivery of motor vehicles & spare parts items,Ministry of Professor
C-21,21,893,2292165.8568304633,2022-07-22,21,1.43,Good,Completed,-256,Patterson Imagine Agencies,P500324401A,2023-04-04,Michaelport,Medium,719,Consultancy Services,2295690,2022-07-22,Supply and delivery of consultancy services items,Ministry of Amount
C-22,22,722,5352057.82668607,2023-01-29,4,2.11,Good,Completed,1993,Waller Where Group,P750009892V,2017-08-15,Danielsborough,Small,720,Consultancy Services,5270080,2023-01-29,Supply and delivery of consultancy services items,Ministry of Major
C-23,23,196,3034281.212300572,2024-01-22,27,0.0,Good,Completed,-440,Collins Reality Limited,P849987147Q,2025-04-06,Andersonland,Large,541,Medical Supplies & Pharmaceuticals,3082410,2024-01-22,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Raise
C-24,24,51,230414802.2904565,2024-02-12,152,119.25,Poor,Terminated,368,Reyes American Ventures,P605399561O,2023-02-09,Port Samantha,Small,673,Construction & Civil Works,224508163,2024-02-12,Supply and delivery of construction & civil works items,Ministry of Clear
C-25,25,275,5236350.8747244235,2025-08-01,10,2.24,Good,Completed,2617,Rodgers To Limited,P140048684L,2018-06-02,Khanburgh,Small,620,Motor Vehicles & Spare Parts,5156093,2025-08-01,Supply and delivery of motor vehicles & spare parts items,Ministry of New
C-26,26,572,449537266.50966144,2023-10-11,97,51.07,Poor,Completed,1717,Eaton Stuff Ventures,P883106302P,2019-01-28,Susantown,Medium,442,Construction & Civil Works,457538900,2023-10-11,Supply and delivery of construction & civil works items,Ministry of Network
C-27,27,685,2625419.906422263,2020-07-02,74,20.3,Good,Completed,-786,Hebert There Ventures,P185852967D,2022-08-27,West Angelachester,Small,396,Medical Supplies & Pharmaceuticals,2564722,2020-07-02,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Management
C-28,28,757,5971486.619628943,2022-08-16,54,20.0,Good,Completed,-136,King Author Enterprise,P430468261T,2022-12-30,Katieville,Medium,377,Office Stationery & Supplies,5730761,2022-08-16,Supply and delivery of office stationery & supplies items,Ministry of What
C-29,29,453,474025167.64461637,2024-10-22,62,21.04,Good,Completed,2812,Mendoza Treat Enterprise,P720682356P,2017-02-09,East Shannon,Large,316,Construction & Civil Works,477663140,2024-10-22,Supply and delivery of construction & civil works items,Ministry of First
C-30,30,610,1801510.9303619224,2020-11-21,21,0.0,Good,Completed,258,Rodriguez Last Enterprise,P799624335L,2020-03-08,Joseside,Small,673,Cleaning & Sanitary Services,1822907,2020-11-21,Supply and delivery of cleaning & sanitary services items,Ministry of Care
C-31,31,388,430659976.69949454,2024-02-08,70,28.15,Poor,Completed,2099,Frazier Act Limited,P108657116S,2018-05-11,Lisachester,Medium,796,Construction & Civil Works,438653090,2024-02-08,Supply and delivery of construction & civil works items,Ministry of First
C-32,32,559,6995225.545410753,2025-01-17,4,1.4,Good,Completed,846,Rivera Finally Limited,P334553833W,2022-09-24,Barajastown,Small,837,Motor Vehicles & Spare Parts,6982799,2025-01-17,Supply and delivery of motor vehicles & spare parts items,Ministry of Necessary
C-33,33,184,42883388.31459597,2022-07-26,86,36.41,Poor,Completed,1947,Hicks Western Ltd,P933468715W,2017-03-27,Jessicaberg,Small,532,ICT Equipment & Software,40976415,2022-07-26,Supply and delivery of ict equipment & software items,Ministry of Outside
C-34,34,702,5708243.088249633,2020-04-14,4,0.65,Good,Completed,1380,Fernandez Citizen Limited,P450932787G,2016-07-04,East Brent,Small,681,Cleaning & Sanitary Services,5465986,2020-04-14,Supply and delivery of cleaning & sanitary services items,Ministry of Ball
C-35,35,53,6800902.732579387,2025-07-02,0,0.0,Good,Completed,2418,Jones Spring Limited,P399708182W,2018-11-18,Frazierside,Large,809,Medical Supplies & Pharmaceuticals,6859291,2025-07-02,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Must
