supplier_id,supplier_name,kra_pin,incorporation_date,location,company_size,credit_score
1,Johnson Face Ventures,P362950628O,2022-06-28,Lake Curtis,Large,406
2,Gardner Performance Group,P553035110C,2023-07-03,North Jefferyhaven,Small,421
3,Hoffman Sense Enterprise,P797808098S,2022-02-12,Robinsonshire,Small,758
4,Booth Song Group,P965241839K,2018-11-17,Petersonberg,Medium,430
5,Gallagher Blue Agencies,P199585092Y,2018-04-01,West Melanieview,Small,643
6,Blair Not Ventures,P234031070Y,2024-03-02,New Kellystad,Large,685
7,Bush Answer Ventures,P810026086O,2021-11-14,Traciebury,Small,759
8,James Long Limited,P782560971X,2024-10-05,West Michael,Small,774
9,Miles Result Enterprise,P795822698E,2022-10-19,New Jessica,Small,775
10,Gray Wish Ventures,P787194506S,2017-09-23,Lake Mark,Small,489
11,Brown Term Agencies,P134467368Z,2023-10-12,Richardland,Medium,543
12,Hahn Under Ltd,P870854579U,2018-03-16,Lake Victor,Small,320
13,Day Character Ltd,P384412919I,2024-12-10,Lake Anna,Small,687
14,Richards Water Ltd,P726563708Z,2018-09-21,Jeffreyberg,Large,541
15,Davis Anyone Limited,P217734861J,2021-03-11,Port Erin,Small,639
16,Cruz Pick Ventures,P602564736H,2022-01-22,Tashatown,Small,754
17,Wilson Value Ventures,P676567501W,2022-11-25,Kaylamouth,Small,334
18,Graham Long Agencies,P103484630U,2017-03-18,Teresaburgh,Small,687
19,Rodriguez Process Limited,P420452650O,2021-03-04,East Nathaniel,Small,405
20,Ashley Win Ventures,P669462919A,2017-09-17,Tracyville,Small,701
21,Koch Theory Limited,P966267851T,2025-05-21,North John,Small,501
22,Miller Sign Agencies,P621828280E,2021-10-08,East Donna,Large,570
23,Martin News Agencies,P751325257B,2025-07-25,New Karina,Small,595
24,Marquez Inside Group,P821218382P,2022-12-30,Samuelhaven,Small,637
25,Wright Attack Group,P463016614B,2020-08-11,New Jeffrey,Small,516
26,Welch Drop Ventures,P172370545C,2016-10-21,Chadbury,Medium,792
27,Washington Notice Ltd,P242068763U,2018-11-18,Sanchezfort,Small,364
28,Lee Bill Ltd,P807577342B,2024-03-03,Rodneymouth,Large,643
29,Brown Ready Ltd,P793830224G,2024-09-25,South Jessicaville,Small,771
30,Lee List Enterprise,P250519597B,2018-08-01,West Steven,Small,691
31,Jones System Enterprise,P690907304G,2024-11-03,Lake Yvettetown,Medium,678
32,House Time Group,P353810544K,2025-10-14,Tuckerborough,Large,340
33,Barrera Community Ventures,P506919288A,2024-09-28,Bakermouth,Medium,332
34,Horton Side Agencies,P941128035J,2018-12-13,Mooreport,Small,398
35,Brown Simply Ventures,P682177668D,2018-04-10,Brianshire,Medium,846
36,Calhoun Nice Ltd,P269042105D,2020-11-11,Port Jacobland,Small,761
37,Young Call Enterprise,P711684318P,2022-11-06,New Christophershire,Medium,517
38,Stewart Every Agencies,P319321646Q,2021-09-30,Johnfurt,Small,692
39,Brewer Lot Limited,P439492674W,2017-05-28,North Stephenshire,Small,760
40,Jones Different Enterprise,P643189555Q,2026-01-21,West Nicole,Small,540
41,Wood Coach Ventures,P570497096I,2024-11-20,Cherylhaven,Small,784
42,Montoya Firm Group,P812308209G,2016-03-04,West Darrell,Small,840
43,Tran Expert Ventures,P402533494M,2017-03-02,Lake Matthew,Large,542
44,Farrell Mouth Agencies,P624557080Q,2022-12-21,North Cynthiaview,Medium,327
45,Cook Case Ventures,P784095277Q,2016-07-15,Lake Scott,Small,630
46,Hoffman Brother Limited,P180792472S,2023-02-25,New Barry,Small,772
47,Tran Law Agencies,P236843584C,2019-10-15,Michaelton,Small,676
48,Clark Enjoy Enterprise,P816114302G,2025-01-31,Kimberlychester,Small,558
49,Brady Wish Agencies,P354194771K,2025-11-01,South Angel,Small,617
50,Cook Word Group,P542073642Z,2023-06-18,West Erik,Medium,533
51,Reyes American Ventures,P605399561O,2023-02-09,Port Samantha,Small,673
52,Hoover Try Ltd,P344378798O,2019-08-05,Lake Jamesmouth,Small,796
53,Jones Spring Limited,P399708182W,2018-11-18,Frazierside,Large,809
54,Johnson Understand Limited,P380477683L,2019-05-29,Benjaminchester,Medium,380
55,Hartman Least Enterprise,P750911797G,2019-07-21,South Rachelborough,Medium,519
56,Fletcher Ability Agencies,P658260221Z,2018-08-23,West Ryan,Small,524
57,Mccall Price Ltd,P437064353Q,2025-08-02,Lake Rachelhaven,Small,429
58,Ortiz Interesting Group,P848621833S,2019-03-10,East Robert,Small,715
59,Byrd Weight Ventures,P286860433N,2025-07-02,Richardtown,Small,483
60,Clark Stock Enterprise,P722753913M,2019-02-19,Stevenmouth,Small,593
61,Dixon Student Group,P954725078V,2022-11-08,Lake Christopher,Medium,497
62,Schultz Government Agencies,P200273738W,2021-04-01,Lake Lance,Small,443
63,Hernandez Any Ltd,P362897676E,2024-02-29,South Robertshire,Small,486
64,Horton Miss Agencies,P529123992P,2018-01-15,Lake Grace,Medium,702
65,Dalton Value Limited,P214447237X,2025-01-08,Robinsonhaven,Small,446
66,Grant Whose Ventures,P230307805D,2020-09-28,Port Steven,Medium,788
67,Hansen Free Ltd,P910943524C,2021-05-29,Rivasside,Small,637
68,Moore Training Ltd,P609677794C,2020-07-21,Karenview,Medium,772
69,Boyd Produce Limited,P356888294R,2023-10-03,Jonesport,Large,597
70,Rogers Walk Enterprise,P679984033F,2018-06-10,East Jesse,Small,443
71,Mccarthy Attack Limited,P545461013A,2023-01-13,Amychester,Large,301
72,Wall Improve Ltd,P926561919L,2016-09-19,Port Nicoleshire,Small,752
73,Smith He Group,P420632895W,2019-11-25,Castanedachester,Medium,308
74,Navarro Such Ltd,P747737533O,2021-06-24,Robinsonchester,Small,507
75,Price Relate Enterprise,P829223044Z,2020-12-14,Ramseymouth,Medium,353
76,Hooper None Ltd,P128955006Z,2025-04-17,North Dawnberg,Medium,719
77,White Ever Agencies,P507059676U,2024-10-06,South Mark,Medium,553
78,Gray Soldier Enterprise,P993271900A,2023-09-16,Maryfort,Small,772
79,Ryan Hard Enterprise,P340756713P,2016-04-15,Port Susanton,Large,637
80,Herring Decision Limited,P121882877N,2023-08-22,East David,Medium,460
81,Elliott Discover Ventures,P599326438S,2022-10-16,Katieburgh,Small,576
82,Stuart Serious Ventures,P222978730X,2022-02-26,West Daniel,Small,691
83,Collins Research Enterprise,P502982778Z,2016-05-08,North Brittany,Medium,332
84,Sanchez Same Ventures,P929445037T,2024-05-27,Port Tonyaton,Small,769
85,Patterson Hospital Agencies,P174041730G,2019-07-27,Alexanderchester,Small,337
86,Garcia High Agencies,P782454310D,2024-04-26,South Gregory,Small,737
87,Santos Power Enterprise,P967797300I,2021-04-24,Marshallshire,Small,576
88,Christian Then Agencies,P193053577R,2018-10-12,Sanchezmouth,Medium,780
89,Barnett Great Group,P130816384F,2021-10-17,Hunterborough,Small,815
90,Green Far Enterprise,P740116562S,2019-08-24,Angelahaven,Medium,811
91,Miller Service Ltd,P536398872F,2025-07-30,Lake Thomas,Large,457
92,West Adult Group,P199915275S,2023-03-20,South Heather,Small,817
93,Perkins Material Enterprise,P694287057H,2019-02-27,Ronaldside,Medium,336
94,Warner Experience Group,P429233929Q,2019-05-28,North Jennifer,Small,480
95,Newton Sound Enterprise,P841057474L,2019-04-02,East Joanna,Large,415
96,Lawrence Soon Group,P663324548M,2018-11-11,Tinaborough,Small,460
97,Ward Five Enterprise,P115191689T,2019-01-22,West Brandon,Small,622
98,Carter Yet Agencies,P235591568O,2016-08-22,Garciatown,Small,587
99,Harrison Let Agencies,P465830215L,2021-11-02,West Shelleyfort,Small,454
100,Jones Million Limited,P179545125K,2017-03-27,East Edwardshire,Medium,403
101,Miller Energy Ltd,P227186396J,2025-08-03,Obrienbury,Small,545
102,James When Group,P575368059T,2023-11-08,Torreston,Small,837
103,Singh Yourself Enterprise,P918982730N,2022-03-11,West Donna,Small,707
104,Thompson Bad Group,P268075622A,2017-08-31,Hayesfort,Small,335
105,Hall Seat Group,P403566540S,2019-01-03,Jonesbury,Small,811
106,French Process Agencies,P733281747Q,2025-05-03,South Danny,Medium,770
107,Hernandez Exactly Ventures,P987588450J,2018-05-06,North Gabrielport,Small,350
108,Holloway Will Ltd,P409893263C,2022-01-17,South Haleyfurt,Small,489
109,Mason Minute Group,P570040006F,2025-07-10,South Jessicaview,Medium,641
110,Perez Represent Ltd,P997603725K,2016-05-09,Port Emilyview,Small,353
111,Hines Continue Enterprise,P605196410H,2021-11-10,Moonburgh,Small,563
112,Graham Teach Group,P627986559F,2026-01-24,Baileymouth,Small,304
113,Garcia College Ventures,P454123990A,2019-04-22,Robertsfurt,Medium,649
114,Pierce Look Enterprise,P194553481U,2024-03-25,Marcusfurt,Medium,568
115,Bryan Ability Limited,P806157458I,2024-09-29,Gutierrezborough,Small,419
116,Dean Moment Enterprise,P771527524C,2021-04-12,East Josephberg,Small,645
117,Kim Say Group,P620455331H,2025-05-16,Lake Chelseabury,Small,426
118,Collins Address Ltd,P692975437A,2023-03-12,East Victoriaville,Medium,357
119,Wilson There Limited,P265325235F,2020-09-16,Williamview,Small,395
120,Olson Marriage Agencies,P361704064D,2020-04-01,South James,Small,787
121,Francis Century Group,P174958005R,2022-02-02,Morganhaven,Small,571
122,Smith She Group,P420571903L,2018-10-07,Grimesmouth,Medium,746
123,Reed Old Group,P919128302I,2021-06-25,Gibsonmouth,Medium,546
124,Pollard Edge Enterprise,P713963047Y,2024-10-16,Port Kimberly,Small,734
