tender_id,category,tender_budget_kes,tender_open_date,tender_description,procuring_entity
1,ICT Equipment & Software,45788543,2020-07-21,Supply and delivery of ict equipment & software items,Ministry of Especially
2,Cleaning & Sanitary Services,5234544,2021-01-25,Supply and delivery of cleaning & sanitary services items,Ministry of Spend
3,Motor Vehicles & Spare Parts,5405431,2025-03-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Behind
4,ICT Equipment & Software,16906440,2020-02-14,Supply and delivery of ict equipment & software items,Ministry of Detail
5,Cleaning & Sanitary Services,3235812,2020-12-23,Supply and delivery of cleaning & sanitary services items,Ministry of State
6,Medical Supplies & Pharmaceuticals,3038687,2022-05-31,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Radio
7,Consultancy Services,5253435,2024-07-06,Supply and delivery of consultancy services items,Ministry of Ready
8,Office Stationery & Supplies,3789024,2020-12-03,Supply and delivery of office stationery & supplies items,Ministry of Fire
9,Office Stationery & Supplies,3802418,2022-12-11,Supply and delivery of office stationery & supplies items,Ministry of Lay
10,Construction & Civil Works,403194586,2024-05-31,Supply and delivery of construction & civil works items,Ministry of Will
11,ICT Equipment & Software,4141771,2021-11-10,Supply and delivery of ict equipment & software items,Ministry of Reveal
12,Medical Supplies & Pharmaceuticals,4179441,2023-08-15,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Her
13,Motor Vehicles & Spare Parts,6875602,2023-12-29,Supply and delivery of motor vehicles & spare parts items,Ministry of There
14,Consultancy Services,2288370,2022-03-16,Supply and delivery of consultancy services items,Ministry of Decision
15,Construction & Civil Works,14937093,2022-12-08,Supply and delivery of construction & civil works items,Ministry of Value
16,Medical Supplies & Pharmaceuticals,7085945,2022-04-30,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Executive
17,Consultancy Services,4094528,2023-05-18,Supply and delivery of consultancy services items,Ministry of Land
18,Medical Supplies & Pharmaceuticals,2241912,2020-07-16,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Knowledge
19,Motor Vehicles & Spare Parts,2062889,2024-11-11,Supply and delivery of motor vehicles & spare parts items,Ministry of Positive
20,Motor Vehicles & Spare Parts,1496436,2021-02-12,Supply and delivery of motor vehicles & spare parts items,Ministry of Professor
21,Consultancy Services,2295690,2022-07-22,Supply and delivery of consultancy services items,Ministry of Amount
22,Consultancy Services,5270080,2023-01-29,Supply and delivery of consultancy services items,Ministry of Major
23,Medical Supplies & Pharmaceuticals,3082410,2024-01-22,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Raise
24,Construction & Civil Works,224508163,2024-02-12,Supply and delivery of construction & civil works items,Ministry of Clear
25,Motor Vehicles & Spare Parts,5156093,2025-08-01,Supply and delivery of motor vehicles & spare parts items,Ministry of New
26,Construction & Civil Works,457538900,2023-10-11,Supply and delivery of construction & civil works items,Ministry of Network
27,Medical Supplies & Pharmaceuticals,2564722,2020-07-02,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Management
28,Office Stationery & Supplies,5730761,2022-08-16,Supply and delivery of office stationery & supplies items,Ministry of What
29,Construction & Civil Works,477663140,2024-10-22,Supply and delivery of construction & civil works items,Ministry of First
30,Cleaning & Sanitary Services,1822907,2020-11-21,Supply and delivery of cleaning & sanitary services items,Ministry of Care
31,Construction & Civil Works,438653090,2024-02-08,Supply and delivery of construction & civil works items,Ministry of First
32,Motor Vehicles & Spare Parts,6982799,2025-01-17,Supply and delivery of motor vehicles & spare parts items,Ministry of Necessary
33,ICT Equipment & Software,40976415,2022-07-26,Supply and delivery of ict equipment & software items,Ministry of Outside
34,Cleaning & Sanitary Services,5465986,2020-04-14,Supply and delivery of cleaning & sanitary services items,Ministry of Ball
35,Medical Supplies & Pharmaceuticals,6859291,2025-07-02,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Must
36,Motor Vehicles & Spare Parts,8443528,2020-08-23,Supply and delivery of motor vehicles & spare parts items,Ministry of Large
37,Consultancy Services,5632388,2022-06-23,Supply and delivery of consultancy services items,Ministry of Majority
38,Consultancy Services,7551747,2023-12-18,Supply and delivery of consultancy services items,Ministry of Outside
39,Motor Vehicles & Spare Parts,3981857,2024-11-15,Supply and delivery of motor vehicles & spare parts items,Ministry of Hear
40,Construction & Civil Works,143957128,2021-07-12,Supply and delivery of construction & civil works items,Ministry of Beat
41,Cleaning & Sanitary Services,218581,2024-08-11,Supply and delivery of cleaning & sanitary services items,Ministry of Admit
42,Cleaning & Sanitary Services,3952256,2020-09-06,Supply and delivery of cleaning & sanitary services items,Ministry of Recently
43,Medical Supplies & Pharmaceuticals,8827148,2022-10-11,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Stop
44,Motor Vehicles & Spare Parts,9907020,2021-02-03,Supply and delivery of motor vehicles & spare parts items,Ministry of Increase
45,Consultancy Services,972328,2020-04-09,Supply and delivery of consultancy services items,Ministry of Keep
46,Motor Vehicles & Spare Parts,3210691,2025-04-04,Supply and delivery of motor vehicles & spare parts items,Ministry of Finish
47,ICT Equipment & Software,12188962,2021-11-18,Supply and delivery of ict equipment & software items,Ministry of Shake
48,Medical Supplies & Pharmaceuticals,8413157,2022-09-23,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Religious
49,Medical Supplies & Pharmaceuticals,6187595,2022-09-12,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of System
50,Consultancy Services,9846919,2021-08-03,Supply and delivery of consultancy services items,Ministry of Why
51,Cleaning & Sanitary Services,4610784,2025-03-24,Supply and delivery of cleaning & sanitary services items,Ministry of Culture
52,Medical Supplies & Pharmaceuticals,9778075,2021-04-07,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Bar
53,Office Stationery & Supplies,2670466,2024-06-24,Supply and delivery of office stationery & supplies items,Ministry of Pm
54,Consultancy Services,9279253,2021-07-22,Supply and delivery of consultancy services items,Ministry of Report
55,Cleaning & Sanitary Services,1117481,2020-08-20,Supply and delivery of cleaning & sanitary services items,Ministry of Nor
56,Consultancy Services,8551115,2020-02-09,Supply and delivery of consultancy services items,Ministry of Indicate
57,Motor Vehicles & Spare Parts,2438377,2020-09-12,Supply and delivery of motor vehicles & spare parts items,Ministry of Congress
58,Cleaning & Sanitary Services,906564,2023-12-07,Supply and delivery of cleaning & sanitary services items,Ministry of Magazine
59,Cleaning & Sanitary Services,6147511,2024-02-24,Supply and delivery of cleaning & sanitary services items,Ministry of Trouble
60,ICT Equipment & Software,16402677,2023-12-12,Supply and delivery of ict equipment & software items,Ministry of Size
61,Construction & Civil Works,322165965,2023-08-11,Supply and delivery of construction & civil works items,Ministry of Message
62,ICT Equipment & Software,1237954,2021-10-25,Supply and delivery of ict equipment & software items,Ministry of Tax
63,Construction & Civil Works,482602178,2025-11-03,Supply and delivery of construction & civil works items,Ministry of Herself
64,Motor Vehicles & Spare Parts,9195781,2024-02-22,Supply and delivery of motor vehicles & spare parts items,Ministry of Road
65,Construction & Civil Works,138426955,2024-01-19,Supply and delivery of construction & civil works items,Ministry of Summer
66,Cleaning & Sanitary Services,4610579,2021-10-25,Supply and delivery of cleaning & sanitary services items,Ministry of Car
67,Consultancy Services,7663493,2020-10-23,Supply and delivery of consultancy services items,Ministry of Cut
68,Construction & Civil Works,270703251,2020-09-02,Supply and delivery of construction & civil works items,Ministry of Admit
69,Motor Vehicles & Spare Parts,2478907,2024-03-05,Supply and delivery of motor vehicles & spare parts items,Ministry of Cup
70,Motor Vehicles & Spare Parts,4632688,2025-02-25,Supply and delivery of motor vehicles & spare parts items,Ministry of Determine
71,Medical Supplies & Pharmaceuticals,7233131,2022-11-20,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Check
72,Office Stationery & Supplies,4981909,2023-11-24,Supply and delivery of office stationery & supplies items,Ministry of Least
73,Consultancy Services,9403721,2025-01-19,Supply and delivery of consultancy services items,Ministry of Toward
74,Office Stationery & Supplies,2445704,2024-09-26,Supply and delivery of office stationery & supplies items,Ministry of Cut
75,ICT Equipment & Software,42866372,2020-07-07,Supply and delivery of ict equipment & software items,Ministry of Speech
76,Cleaning & Sanitary Services,8320038,2022-10-12,Supply and delivery of cleaning & sanitary services items,Ministry of Matter
77,Consultancy Services,8517944,2022-07-13,Supply and delivery of consultancy services items,Ministry of But
78,Construction & Civil Works,494740342,2020-12-29,Supply and delivery of construction & civil works items,Ministry of Claim
79,ICT Equipment & Software,19884838,2024-06-06,Supply and delivery of ict equipment & software items,Ministry of Light
80,Medical Supplies & Pharmaceuticals,5404120,2025-10-12,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Market
81,Cleaning & Sanitary Services,1547947,2020-02-13,Supply and delivery of cleaning & sanitary services items,Ministry of Listen
82,Office Stationery & Supplies,8378499,2023-07-06,Supply and delivery of office stationery & supplies items,Ministry of Defense
83,Consultancy Services,6706470,2021-10-07,Supply and delivery of consultancy services items,Ministry of Themselves
84,Medical Supplies & Pharmaceuticals,776296,2024-12-31,Supply and delivery of medical supplies & pharmaceuticals items,Ministry of Approach
85,Office Stationery & Supplies,7135655,2022-01-01,Supply and delivery of office stationery & supplies items,Ministry of Board
86,Construction & Civil Works,460896022,2023-10-13,Supply and delivery of construction & civil works items,Ministry of Sell
87,Construction & Civil Works,181713207,2022-08-04,Supply and delivery of construction & civil works items,Ministry of Just
